JKL,ATC ,INN,Zašti?eno ime leka,FO,Pakovanje i ja?ina  leka,Naziv proizvo?a?a leka,Država proizvodnje leka,Cena leka na veliko za pakovanje,DDD,Cena leka na veliko po DDD,Participacija osiguranog lica,Indikacija,Napomena
1122881,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 28 po 20 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,304.80,30 mg,16.33,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122883,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 7 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,124.10,30 mg,13.30,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122864,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 14 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,248.20,30 mg,13.30,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122865,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 28 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,496.50,30 mg,13.30,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1124301,A03FA01,metoklopramid,KLOMETOL  ,tableta,"blister, 30 po 10 mg",Galenika a.d.,Republika Srbija,142.70,30 mg,14.27,50.00,,
3124300,A03FA01,metoklopramid,KLOMETOL  ,oralni rastvor,"boca staklena, 1 po 100 ml (5 mg/5 ml)",Galenika a.d.,Republika Srbija,84.90,30 mg,25.47,50.00,,
1124303,A03FA01,metoklopramid,REGLAN,tableta,"blister, 40 po 10 mg","Alkaloid a.d. u saradnji sa Sanofi-Aventis, Francuska",Republika Makedonija,190.20,30 mg,14.27,50.00,,
1124532,A04AA01,ondansetron,ONDASAN,film tableta,10 po 4 mg,Slaviamed d.o.o.,Republika Srbija,959.10,16 mg,383.64,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1124534,A04AA01,ondansetron,ONDASAN,film tableta,10 po 8 mg,Slaviamed d.o.o.,Republika Srbija,"1,543.90",16 mg,308.78,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1124533,A04AA01,ondansetron,ONDA,film tableta,"blister, 15 po 8 mg",Vianex S.A. - Plant B',Gr?ka,"2,315.80",16 mg,308.77,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1124100,A04AA02,granisetron,RASETRON,film tableta,"blister, 10 po 1 mg",Actavis LTD   ,"
Malta","2,246.00",2 mg,449.20,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1124104,A04AA02,granisetron,RASETRON,film tableta,"blister, 5 po 2 mg",Actavis LTD   , Malta       ,"2,947.10",2 mg,589.42,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1124586,A04AA02,granisetron,KYTRIL,film tableta,"blister, 10 po 1 mg", IL CSM Clinical Supplies Management; Waymade PLC.,Nema?ka; Velika Britanija,"2,246.00",2 mg,449.20,50.00, Za suzbijanje mu?nine i povra?anja uz radio i hemioterapiju.,
1127177,A05AA02,ursodeoksiholna kiselina,URSOFALK,"kapsula, tvrda","blister, 100 po 250 mg",Dr Falk Pharma GmbH,Nema?ka,"2,338.10","0,75 g",70.14,50.00,  1. Primarna bilijarna ciroza dijagnostikovana u zdravstvenoj ustanovi koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite  (K74.3),  Lek se  u terapiju uvodi na osnovu mišljenja gastroenterologa ili infektologa/hepatologa.
1127176,A05AA02,ursodeoksiholna kiselina,URSOFALK,"kapsula, tvrda","blister, 50 po 250 mg",Dr Falk Pharma GmbH,Nema?ka,"1,169.00","0,75 g",70.14,50.00,  1. Primarna bilijarna ciroza dijagnostikovana u zdravstvenoj ustanovi koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite  (K74.3),  Lek se  u terapiju uvodi na osnovu mišljenja gastroenterologa ili infektologa/hepatologa.
3127050,A06AD11,laktuloza,PORTALAK ,sirup,"1 po 500 ml (66,7 g/100 ml) 96%",Belupo Lijekovi i kozmetika d.d.,Hrvatska,428.50,"6,7 g",8.61,50.00," 1. Portosistemske encefalopatije (K72),
2.  Prevencija i terapija opstipacije izazvane opioidima.", Za indikaciju pod ta?kom 1. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili infektologa/hepatologa.
3127426,A06AD11,laktuloza,LAKTULOZA RP,sirup,"boca plasti?na, 1 po 500 ml (66,7 g/100 ml)",Hemofarm a.d.,Republika Srbija,428.50,"6,7 g",8.61,50.00," 1. Portosistemske encefalopatije (K72),
2.  Prevencija i terapija opstipacije izazvane opioidima.",  Za indikaciju pod ta?kom 1. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili infektologa/hepatologa.
3126303,A07AX03,nifuroksazid,ENTEROFURYL,oralna suspenzija,"bo?ica, 1 po 90 ml (200 mg/5 ml)",Bosnalijek d.d.,Bosna i Hercegovina,243.50,600 mg,40.58,50.00,Akutna dijareja (A09) u trajanju terapije do 5 dana.,    Samo za decu.
3126000,A07AX03,nifuroksazid,NIFUROKSAZID ALKALOID,oralna suspenzija,"boca staklena, 1 po 90ml (200mg/5ml)",Alkaloid AD Skopje,Makedonija,243.50,600 mg,40.58,50.00,Akutna dijareja (A09) u trajanju terapije do 5 dana.,    Samo za decu.
1126401,A07DA03,loperamid,LOPERAMID ,tableta,"blister,  20 po 2 mg",Zdravlje a.d.,Republika Srbija,189.90,10 mg,47.48,50.00,,
1129930,A07EA06,budesonid,BUDOSAN,"gastrorezistentna kapsula, tvrda","blister, 100 po 3 mg",Dr Falk Pharma GmbH,Nema?ka,"9,178.40",9 mg,275.35,50.00,"1. Crohnova bolest terminalnog ileuma ili ascedentnog kolona (K50).
2. Autoimuni hepatitis (?75.4)","Za indikaciju pod ta?kom 1. lek se u terapiju uvodi do tri meseca u toku 12 meseci na osnovu mišljenja gastroenterologa, a nastavak terapije još do tri meseca u toku 12 meseci na osnovu mišljenja gastroenterologa zdravstvene ustanove koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite.
Za indikaciju pod ta?kom 2. lek se u terapiju uvodi na osnovu mišljenja lekara specijaliste interne medicine ili infektivnih i tropskih bolesti sa užom specijalizacijom iz gastroenterohepatologije zdravstvene ustanove sekundarnog ili tercijarnog nivoa zdravstvene zaštite."
1129490,A07EC01,sulfasalazin,SALAZOPYRIN-EN,gastrorezistentna tableta," boca plasti?na, 100 po 500 mg",Recipharm Uppsala AB,Švedska,"1,065.10",2 g,42.60,50.00,,
1129300,A07EC02,mesalazin,5-ASA ,gastrorezistentna tableta,"blister, 100 po 250 mg",Slaviamed d.o.o.,Republika Srbija,919.60,"1,5 g",55.18,50.00,"  1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",   Za  indikacije pod ta?kom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
5129303,A07EC02,mesalazin,5-ASA ,supozitorija,"blister, 30 po 250 mg",Slaviamed d.o.o.,Republika Srbija,960.50,"1,5 g",192.10,50.00,"  1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",   Za  indikacije pod ta?kom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
1121154,A09AA02,pankreatin,KREON 25 000,"gastrorezistentna kapsula, tvrda","kontejner plasti?ni, 50 po 300 mg ",Abbott Laboratories GMBH,Nema?ka,"1,486.30",4 kapsule,118.90,50.00,"1. Poreme?aj egzokrine funkcije pankreasa uzrokovan cisti?nom fibrozom (E84).
2. Steatorrhoea pancreatica (K90.3), dokazana odgovaraju?im dijagnosti?kim testom, kvalitativnim ili kvantitativnim ili odgovaraju?im morfološkim vizuelizacionim metodama, uz pothranjenost pacijenta (ITM < 20).","Za indikaciju pod ta?kom 1. lek se uvodi u terapiju na osnovu mišljenja pedijatra ili gastroenterologa ili pulmologa zdravstvene ustanove koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite, a za indikaciju pod ta?kom 2. lek se uvodi u terapiju na osnovu mišljenja gastroenterologa."
1121155,A09AA02,pankreatin,KREON 25 000,"gastrorezistentna kapsula, tvrda","kontejner plasti?ni, 100 po 300 mg ",Abbott Laboratories GMBH,Nema?ka,"2,972.50",4 kapsule,118.90,50.00,"1. Poreme?aj egzokrine funkcije pankreasa uzrokovan cisti?nom fibrozom (E84).
2. Steatorrhoea pancreatica (K90.3), dokazana odgovaraju?im dijagnosti?kim testom, kvalitativnim ili kvantitativnim ili odgovaraju?im morfološkim vizuelizacionim metodama, uz pothranjenost pacijenta (ITM < 20).","Za indikaciju pod ta?kom 1. lek se uvodi u terapiju na osnovu mišljenja pedijatra ili gastroenterologa ili pulmologa zdravstvene ustanove koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite, a za indikaciju pod ta?kom 2. lek se uvodi u terapiju na osnovu mišljenja gastroenterologa."
1121163,A09AA02,pankreatin,KREON 25000,"gastrorezistentna kapsula, tvrda","kutija, 20 po 300 mg",Abbott Laboratories GmbH,Nema?ka,594.50,4 kapsule,118.90,50.00,"1. Poreme?aj egzokrine funkcije pankreasa uzrokovan cisti?nom fibrozom (E84).
2. Steatorrhoea pancreatica (K90.3), dokazana odgovaraju?im dijagnosti?kim testom, kvalitativnim ili kvantitativnim ili odgovaraju?im morfološkim vizuelizacionim metodama, uz pothranjenost pacijenta (ITM < 20).","Za indikaciju pod ta?kom 1. lek se uvodi u terapiju na osnovu mišljenja pedijatra ili gastroenterologa ili pulmologa zdravstvene ustanove koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite, a za indikaciju pod ta?kom 2. lek se uvodi u terapiju na osnovu mišljenja gastroenterologa."
1121152,A09AA02,pankreatin,KREON 10 000,"gastrorezistentna kapsula, tvrda","kontejener plasti?ni, 100 po 150 mg",Abbott Laboratories GMBH,Nema?ka,"1,172.70",6 kapsula,70.36,50.00,"1. Poreme?aj egzokrine funkcije pankreasa uzrokovan cisti?nom fibrozom (E84).
2. Steatorrhoea pancreatica (K90.3), dokazana odgovaraju?im dijagnosti?kim testom, kvalitativnim ili kvantitativnim ili odgovaraju?im morfološkim vizuelizacionim metodama, uz pothranjenost pacijenta (ITM < 20).","Za indikaciju pod ta?kom 1. lek se uvodi u terapiju na osnovu mišljenja pedijatra ili gastroenterologa ili pulmologa zdravstvene ustanove koja obavlja zdravstvenu delatnost na tercijarnom nivou zdravstvene zaštite, a za indikaciju pod ta?kom 2. lek se uvodi u terapiju na osnovu mišljenja gastroenterologa."
0041559,A10AB01,insulin humani,ACTRAPID PENFILL,rastvor za injekciju u ulošku,"uložak, 5 po 3 ml (100 i.j./ml)",Novo Nordisk A/S; Novo Nordisk Production S.A.S,Danska; Francuska,"2,325.50",40 i.j.,62.01,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041425,A10AB01,insulin humani,HUMULIN R,rastvor za injekciju u ulošku,5 po 3 ml (100 i.j./ml),Lilly France S.A.S.; Eli Lilly Italia S.P.A.,Francuska; Italija,"2,325.50",40 i.j.,62.01,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041563,A10AB01,insulin humani,INSUMAN RAPID SOLOSTAR,"rastvor za injekciju, pen sa uloškom",5 po 3 ml (100 i.j./ml ),Sanofi-Aventis Deutschland GmbH,Nema?ka,"2,325.50",40 i.j.,62.01,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041507,A10AB04,insulin lispro,HUMALOG,rastvor za injekciju u ulošku,"uložak, 5 po 3 ml (100 i.j./ml)","Lilly France;
 Eli Lilly Italia S.P.A. ",Francuska; Italija,"3,025.30",40 i.j.,80.67,50.00,,"Samo za pacijente sa nezadovoljavaju?om kontrolom dijabetesa na intenziviranoj terapiji humanim insulinima u toku poslednjih 6 meseci (glikozilirani hemoglobin ve?i od 7%,  tj. HbA1c>7%) u kojih se uvodi intenzivirana terapija insulinskim analozima (4-5 doza dnevno, kombinacija kratkodeluju?eg i dugodeluju?eg, odnosno bifaznog analoga, koji su uvedeni u terapiju u skladu sa njima propisanim napomenama) ili za pacijente na terapiji dugodeluju?im, odnosno bifaznim analogom kao dodatna terapija u slu?aju perzistiranja ponavljane postprandijalne hiperglikemije( glikemija ve?a od 9mmol/l, 2h posle obroka) i pored adekvatne korekcije doziranja insulina i komplijanse pacijenta u navedenom periodu od 6 meseci.
       Postprandijalna hiperglikemijska epizoda se utvr?uje na jedan od slede?ih na?ina:
              - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en aparatom za samokontrolu glikemije (memorija li?nog aparata) i verifikovan nalazom u kartonu pacijenta, odnosno specijalisti?kim izveštajem na osnovu koga se lek uvodi u terapiju;
             - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en u zdravstvenoj ustanovi i verifikovan u kartonu pacijenta, odnosno specijalisti?kom izveštaju na osnovu koga se lek uvodi u terapiju.
       Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra koji je dužan da u specijalisti?kom izveštaju utvrdi i dokumentuje ispunjenost napred propisanih uslova za uvo?enje ovog leka u terapiju."
0041532,A10AB05,insulin aspart,NOVO RAPID,rastvor za injekciju,"bo?ica, 1 po 10 ml (100 j./ml )",Novo Nordisk A/S,Danska,"2,063.30",40 j.,82.53,50.00,,"Pacijenti na  terapiji  subkutanom insulinskom infuzijom pomo?u insulinske pumpe, na osnovu mišljenja  endokrinologa ili interniste ili pedijatra."
0041527,A10AB05,insulin aspart ,NOVORAPID FLEXPEN,rastvor za injekciju,"pen sa uloškom, 5 po 3 ml (100 j./ml )",Novo Nordisk A/S; Novo Nordisk Production S.A.S,Danska; Francuska,"3,670.80",40 j.,97.89,50.00,," Samo za pacijente sa nezadovoljavaju?om kontrolom dijabetesa na intenziviranoj terapiji humanim insulinima u toku poslednjih 6 meseci (glikozilirani hemoglobin ve?i od 7%,  tj. HbA1c>7%) u kojih se uvodi intenzivirana terapija insulinskim analozima (4-5 doza dnevno, kombinacija kratkodeluju?eg i dugodeluju?eg, odnosno bifaznog analoga, koji su uvedeni u terapiju u skladu sa njima propisanim napomenama) ili za pacijente na terapiji dugodeluju?im, odnosno bifaznim analogom kao dodatna terapija u slu?aju perzistiranja ponavljane postprandijalne hiperglikemije( glikemija ve?a od 9mmol/l, 2h posle obroka) i pored adekvatne korekcije doziranja insulina i komplijanse pacijenta u navedenom periodu od 6 meseci.
       Postprandijalna hiperglikemijska epizoda se utvr?uje na jedan od slede?ih na?ina:
              - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en aparatom za samokontrolu glikemije (memorija li?nog aparata) i verifikovan nalazom u kartonu pacijenta, odnosno specijalisti?kim izveštajem na osnovu koga se lek uvodi u terapiju;
             - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en u zdravstvenoj ustanovi i verifikovan u kartonu pacijenta, odnosno specijalisti?kom izveštaju na osnovu koga se lek uvodi u terapiju.
       Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra koji je dužan da u specijalisti?kom izveštaju utvrdi i dokumentuje ispunjenost napred propisanih uslova za uvo?enje ovog leka u terapiju."
0041560,A10AB05,insulin aspart,FIASP,rastvor za injekciju,"bo?ica staklena, 1 po 10 ml (100 j/ml)",Novo Nordisk A/S,Danska,"2,063.30",40 j.,82.53,50.00,,"Odrasli pacijenti na terapiji subkutanom insulinskom infuzijom pomo?u insulinske pumpe, na osnovu mišljenja  endokrinologa ili interniste."
0041561,A10AB05,insulin aspart,FIASP FLEXTOUCH,rastvor za injekciju u penu sa uloškom,"pen sa uloškom, 5 po 3 ml (100 j/ml)",Novo Nordisk A/S,Danska,"3,670.80",40 j.,97.89,50.00,," Samo za odrasle pacijente sa nezadovoljavaju?om kontrolom dijabetesa na intenziviranoj terapiji humanim insulinima u toku poslednjih 6 meseci (glikozilirani hemoglobin ve?i od 7%,  tj. HbA1c>7%) u kojih se uvodi intenzivirana terapija insulinskim analozima (4-5 doza dnevno, kombinacija kratkodeluju?eg i dugodeluju?eg, odnosno bifaznog analoga, koji su uvedeni u terapiju u skladu sa njima propisanim napomenama) ili za pacijente na terapiji dugodeluju?im, odnosno bifaznim analogom kao dodatna terapija u slu?aju perzistiranja ponavljane postprandijalne hiperglikemije( glikemija ve?a od 9mmol/l, 2h posle obroka) i pored adekvatne korekcije doziranja insulina i komplijanse pacijenta u navedenom periodu od 6 meseci.
       Postprandijalna hiperglikemijska epizoda se utvr?uje na jedan od slede?ih na?ina:
              - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en aparatom za samokontrolu glikemije (memorija li?nog aparata) i verifikovan nalazom u kartonu pacijenta, odnosno specijalisti?kim izveštajem na osnovu koga se lek uvodi u terapiju;
             - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en u zdravstvenoj ustanovi i verifikovan u kartonu pacijenta, odnosno specijalisti?kom izveštaju na osnovu koga se lek uvodi u terapiju.
       Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste koji je dužan da u specijalisti?kom izveštaju utvrdi i dokumentuje ispunjenost napred propisanih uslova za uvo?enje ovog leka u terapiju."
0041556,A10AB06,insulin glulizin,APIDRA SOLOSTAR,rastvor za injekciju,"pen sa uloškom, 5 po 3 ml (100 i.j./ml)",Sanofi-Aventis Deutschland GmbH,Nema?ka,"3,366.90",40 i.j.,89.78,50.00,,"Samo za pacijente sa nezadovoljavaju?om kontrolom dijabetesa na intenziviranoj terapiji humanim insulinima u toku poslednjih 6 meseci (glikozilirani hemoglobin ve?i od 7%,  tj. HbA1c>7%) u kojih se uvodi intenzivirana terapija insulinskim analozima (4-5 doza dnevno, kombinacija kratkodeluju?eg i dugodeluju?eg, odnosno bifaznog analoga, koji su uvedeni u terapiju u skladu sa njima propisanim napomenama) ili za pacijente na terapiji dugodeluju?im, odnosno bifaznim analogom kao dodatna terapija u slu?aju perzistiranja ponavljane postprandijalne hiperglikemije( glikemija ve?a od 9mmol/l, 2h posle obroka) i pored adekvatne korekcije doziranja insulina i komplijanse pacijenta u navedenom periodu od 6 meseci.
       Postprandijalna hiperglikemijska epizoda se utvr?uje na jedan od slede?ih na?ina:
              - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en aparatom za samokontrolu glikemije (memorija li?nog aparata) i verifikovan nalazom u kartonu pacijenta, odnosno specijalisti?kim izveštajem na osnovu koga se lek uvodi u terapiju;
             - podatak o nivou glikemije u toku postprandijalne hiperglikemijske epizode utvr?en u zdravstvenoj ustanovi i verifikovan u kartonu pacijenta, odnosno specijalisti?kom izveštaju na osnovu koga se lek uvodi u terapiju.
       Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra koji je dužan da u specijalisti?kom izveštaju utvrdi i dokumentuje ispunjenost napred propisanih uslova za uvo?enje ovog leka u terapiju."
0041557,A10AC01,"insulin srednje dugog dejstva, humani (izofan)",INSULATARD  PENFILL,suspenzija za injekciju u ulošku,(za Novopen) 5 po 3 ml (100 i.j./ml),Novo Nordisk A/S; Novo Nordisk Production S.A.S,Danska; Francuska,"2,500.70",40 i.j.,66.69,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041428,A10AC01,insulin humani ,HUMULIN NPH,suspenzija za injekciju u ulošku,5 po 3 ml (100 i.j./ml),Lilly France S.A.S.; Eli Lilly Italia S.P.A.,Francuska; Italija,"2,500.70",40 i.j.,66.69,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041564,A10AC01,humani insulin,INSUMAN BAZAL SOLOSTAR,"suspenzija za injekciju, pen sa uloškom",5 po 3 ml (100 i.j./ml ),Sanofi-Aventis Deutschland GmbH,Nema?ka,"2,500.70",40 i.j.,66.69,50.00,,Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041558,A10AD01,insulin humani,MIXTARD 30  PENFILL ,suspenzija za injekciju u ulošku,(za Novopen) 5 po 3 ml (100 i.j./ml),Novo Nordisk A/S; Novo Nordisk Production S.A.S,Danska; Francuska,"2,187.10",40 i.j.,58.32,50.00,, Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041565,A10AD01,insulin humani ,INSUMAN COMB 25 SOLOSTAR ,"suspenzija za injekciju, pen sa uloškom",5 po 3 ml (100 i.j./ml ),Sanofi-Aventis Deutschland GmbH,Nema?ka,"2,046.70",40 i.j.,54.58,50.00,, Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041427,A10AD01,insulin humani ,HUMULIN M3,suspenzija za injekciju u ulošku,5 po 3 ml (100 i.j./ml),Lilly France S.A.S.; Eli Lilly Italia S.P.A.,Francuska; Italija,"2,187.10",40 i.j.,58.32,50.00,, Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra.
0041502,A10AD04,insulin lispro,HUMALOG MIX 25,suspenzija za injekciju u ulošku,"uložak, 5 po 3 ml (100 i.j/1 ml)",Lilly France S.A.S.; Eli Lilly Italia S.P.A.,Francuska; Italija,"3,025.30",40 i.j.,80.67,50.00,,"  1. Samo za pacijente sa nezadovoljavaju?om kontrolom dijabetesa na terapiji humanim insulinima u toku poslednjih 6 meseci (glikozilirani hemoglobin ve?i od 7%,  tj. HbA1c>7%) u kojih  perzistiraju ponavljane postprandijalne hiperglikemije (glikemija veca od 9mmol/l, 2h posle obroka) ili ponavljane hipoglikemije ( glikemija manja od 3,5mmol/l) i pored adekvatne korekcije doziranja insulina i komplijanse pacijenta u navedenom periodu  od 6 meseci.
       Hipoglikemijska, odnosno postprandijalna hiperglikemijska epizoda se utvr?uje na jedan od slede?ih na?ina:
              - podatak o nivou glikemije u toku hipoglikemijske, odnosno postprandijalne hiperglikemijske epizode utvr?en aparatom za samokontrolu glikemije (memorija li?nog aparata) i verifikovan nalazom u kartonu pacijenta, odnosno specijalisti?kim izveštajem na osnovu koga se lek uvodi u terapiju;
             - podatak o nivou glikemije u toku hipoglikemijske epizode utvr?en aparatom za samokontrolu od strane lekara hitne pomo?i/hitne službe u ?ijem se prisustvu dogodila hipoglikemijska epizoda i verifikovan u njegovom izveštaju;   
             - podatak o nivou glikemije u toku hipoglikemijske, odnosno postprandijalne hiperglikemijske epizode utvr?en u zdravstvenoj ustanovi i verifikovan u kartonu pacijenta, odnosno specijalisti?kom izveštaju na osnovu koga se lek uvodi u terapiju.
       Lek se u terapiju uvodi na osnovu mišljenja endokrinologa ili interniste ili pedijatra koji je dužan da u specijalisti?kom  izveštaju utvrdi i dokumentuje ispunjenost napred propisanih uslova za uvo?enje ovog leka u terapiju. 
          2. Za le?enje dece sa dijabetesom tip I, lekovi Humalog Mix 25 i Humalog Mix 25 KwikPen mogu se koristiti i kao alternativa humanim insulinima u prvoj liniji terapije na osnovu mišljenja endokrinologa ili pedijatra."
